Quota,Admision-Test,Terminal-Degree,Result
Bahawalpur,47,567,Rejected
Bahawalpur,49,465,Rejected
Bahawalpur,58,442,Rejected
Bahawalpur,66,525,Admitted
Bahawalpur,50,437,Rejected
Bahawalpur,62,461,Rejected
Bahawalpur,58,471,Rejected
Bahawalpur,47,593,Rejected
Bahawalpur,46,397,Rejected
Bahawalpur,41,538,Admitted
Bahawalpur,57,497,Admitted
Bahawalpur,56,466,Rejected
Bahawalpur,49,556,Admitted
Bahawalpur,40,509,Rejected
Bahawalpur,44,464,Rejected
Bahawalpur,45,470,Rejected
Bahawalpur,53,482,Admitted
Bahawalpur,49,530,Rejected
Bahawalpur,59,461,Rejected
Bahawalpur,49,453,Rejected
Bahawalpur,46,465,Rejected
Bahawalpur,47,544,Admitted
Bahawalpur,53,489,Admitted
Bahawalpur,52,539,Admitted
OPEN,52,457,Rejected
Bahawalpur,53,536,Admitted
Bahawalpur,50,458,Rejected
Bahawalpur,50,453,Rejected
Bahawalpur,56,508,Admitted
Bahawalpur,55,561,Admitted
Bahawalpur,52,613,Admitted
Bahawalpur,59,447,Rejected
Bahawalpur,58,494,Admitted
Bahawalpur,63,440,Rejected
Bahawalpur,49,487,Rejected
Bahawalpur,47,495,Admitted
Bahawalpur,60,533,Admitted
Bahawalpur,57,538,Admitted
Bahawalpur,49,592,Rejected
Bahawalpur,55,510,Admitted
Bahawalpur,50,461,Rejected
Bahawalpur,47,492,Rejected
Bahawalpur,58,456,Rejected
Bahawalpur,57,479,Admitted
Bahawalpur,63,488,Admitted
Bahawalpur,59,444,Rejected
Bahawalpur,55,503,Admitted
Bahawalpur,45,463,Rejected
Bahawalpur,50,534,Admitted
Bahawalpur,45,486,Rejected
Bahawalpur,58,480,Admitted
Bahawalpur,52,522,Admitted
Bahawalpur,49,490,Rejected
Bahawalpur,58,507,Rejected
Bahawalpur,59,530,Admitted
Bahawalpur,50,582,Rejected
Bahawalpur,62,420,Rejected
Bahawalpur,62,548,Rejected
Bahawalpur,47,462,Rejected
Bahawalpur,52,555,Admitted
Bahawalpur,53,484,Admitted
Bahawalpur,53,523,Admitted
Bahawalpur,53,492,Admitted
Bahawalpur,56,515,Admitted
Bahawalpur,61,450,Rejected
Bahawalpur,56,492,Rejected
Bahawalpur,51,454,Rejected
Bahawalpur,61,520,Rejected
Bahawalpur,55,531,Admitted
Bahawalpur,56,503,Rejected
Bahawalpur,54,500,Admitted
Bahawalpur,56,530,Admitted
Bahawalpur,51,548,Admitted
Bahawalpur,53,480,Rejected
Bahawalpur,49,547,Admitted
Bahawalpur,64,438,Rejected
Bahawalpur,54,557,Admitted
Bahawalpur,52,464,Rejected
Bahawalpur,61,520,Admitted
Bahawalpur,58,470,Rejected
Bahawalpur,54,494,Admitted
Bahawalpur,43,458,Rejected
Bahawalpur,62,438,Rejected
Bahawalpur,50,482,Rejected
Bahawalpur,58,497,Admitted
Bahawalpur,55,533,Admitted
Bahawalpur,47,500,Admitted
Bahawalpur,58,470,Admitted
Bahawalpur,48,496,Admitted
Bahawalpur,54,480,Rejected
Bahawalpur,49,464,Rejected
Bahawalpur,49,482,Rejected
Bahawalpur,63,432,Rejected
Bahawalpur,52,480,Rejected
Bahawalpur,48,450,Rejected
Bahawalpur,50,489,Admitted
Bahawalpur,51,598,Admitted
Bahawalpur,60,549,Admitted
Bahawalpur,50,465,Rejected
Bahawalpur,50,444,Rejected
Bahawalpur,62,524,Admitted
Bahawalpur,49,480,Rejected
Bahawalpur,68,502,Admitted
Bahawalpur,55,528,Admitted
OPEN,27,568,Rejected
Bahawalpur,47,469,Rejected
OPEN,53,507,Rejected
OPEN,66,468,Rejected
OPEN,61,542,Admitted
OPEN,58,494,Rejected
OPEN,57,509,Rejected
OPEN,60,504,Rejected
OPEN,53,519,Admitted
OPEN,41,459,Rejected
Bahawalpur,53,509,Admitted
OPEN,57,502,Rejected
